epoch,train_loss,val_loss
1,0.062659,0.048220
2,0.043108,0.036822
3,0.036975,0.035893
4,0.034346,0.036735
5,0.032025,0.032415
6,0.030165,0.031565
7,0.028115,0.027314
8,0.027605,0.032527
9,0.026460,0.028998
10,0.025557,0.025923
