epoch,train_loss,val_loss
1,0.130633,0.073645
2,0.068932,0.067078
3,0.061599,0.060729
4,0.056408,0.054249
5,0.053230,0.051950
6,0.050368,0.052191
7,0.048230,0.054483
8,0.046483,0.045632
9,0.045015,0.049556
10,0.043438,0.045582
