filename,si_sdr_noisy,si_sdr_denoised,improvement
p232_139.wav,15.9847,24.9175,+8.9328
p232_140.wav,10.1822,22.0540,+11.8718
p232_141.wav,5.4431,18.2486,+12.8055
p232_142.wav,1.7889,15.2823,+13.4934
p232_143.wav,15.2634,22.8696,+7.6063
p232_144.wav,11.0549,19.6773,+8.6223
p232_145.wav,6.0785,15.2794,+9.2009
p232_146.wav,0.9451,15.9678,+15.0226
p232_147.wav,16.3386,22.6471,+6.3085
p232_148.wav,11.6039,22.1813,+10.5775
p232_150.wav,5.8684,21.2688,+15.4004
p232_151.wav,1.3204,17.1617,+15.8413
p232_152.wav,15.5801,21.4705,+5.8904
p232_153.wav,10.7907,16.9907,+6.2000
p232_154.wav,6.2389,13.0918,+6.8529
p232_155.wav,1.1981,8.1820,+6.9839
p232_156.wav,15.9658,20.1628,+4.1970
p232_158.wav,11.5812,17.9311,+6.3499
p232_159.wav,5.6309,16.7964,+11.1655
p232_160.wav,2.3961,11.0815,+8.6854
p232_161.wav,16.3616,24.5177,+8.1560
p232_162.wav,10.1996,25.0472,+14.8476
p232_163.wav,6.0059,22.9143,+16.9084
p232_164.wav,1.2091,17.9419,+16.7328
p232_165.wav,15.4459,20.9003,+5.4545
p232_167.wav,11.3099,20.5111,+9.2012
p232_169.wav,6.5958,17.8116,+11.2158
p232_170.wav,0.6328,9.9144,+9.2816
p232_171.wav,15.7622,22.1559,+6.3937
p232_172.wav,10.8642,24.4625,+13.5983
p232_173.wav,5.9517,19.7531,+13.8013
p232_174.wav,0.9455,17.0448,+16.0993
p232_175.wav,16.5397,22.1832,+5.6436
p232_176.wav,11.4672,16.5678,+5.1005
p232_177.wav,5.4344,13.3726,+7.9382
p232_178.wav,0.8863,12.7146,+11.8283
p232_179.wav,16.6388,21.9898,+5.3510
p232_180.wav,11.4850,17.6520,+6.1671
p232_181.wav,5.7354,15.4195,+9.6842
p232_182.wav,1.3478,9.7841,+8.4363
p232_183.wav,14.9197,23.6907,+8.7711
p232_184.wav,10.9175,21.8886,+10.9711
p232_185.wav,6.3306,21.4368,+15.1062
p232_186.wav,0.2043,13.7944,+13.5901
p232_187.wav,14.9263,21.2513,+6.3250
p232_188.wav,11.2429,19.6742,+8.4313
p232_189.wav,6.0993,14.2561,+8.1568
p232_190.wav,0.7101,13.6545,+12.9444
p232_191.wav,15.5952,22.6075,+7.0122
p232_193.wav,10.9828,21.5950,+10.6122
p232_194.wav,6.6401,18.6062,+11.9661
p232_195.wav,1.0398,20.3876,+19.3478
p232_196.wav,15.1847,23.0484,+7.8637
p232_197.wav,11.3777,17.2775,+5.8998
p232_198.wav,5.5671,14.8283,+9.2612
p232_199.wav,1.1979,12.0634,+10.8655
p232_200.wav,16.3675,22.7067,+6.3391
p232_201.wav,11.4142,19.2629,+7.8487
p232_202.wav,7.0243,17.6399,+10.6156
p232_203.wav,1.6076,9.9239,+8.3163
p232_204.wav,16.5300,26.0880,+9.5580
p232_205.wav,10.5932,23.7894,+13.1962
p232_206.wav,6.3241,21.9844,+15.6602
p232_207.wav,0.2883,19.0988,+18.8105
p232_208.wav,14.6487,21.8470,+7.1983
p232_209.wav,9.9672,19.1927,+9.2255
p232_210.wav,5.1793,16.9809,+11.8016
p232_211.wav,-0.5567,15.1282,+15.6849
p232_213.wav,14.8663,23.2182,+8.3520
p232_214.wav,10.6444,18.6575,+8.0131
p232_215.wav,5.6697,23.4688,+17.7991
p232_216.wav,1.4207,16.9107,+15.4900
p232_217.wav,15.1319,22.4393,+7.3074
p232_218.wav,10.8823,20.6358,+9.7534
p232_219.wav,6.6140,15.2226,+8.6086
