filename,si_sdr_noisy,si_sdr_denoised,improvement
p232_139.wav,15.9847,26.0906,+10.1059
p232_140.wav,10.1822,22.2021,+12.0199
p232_141.wav,5.4431,17.7796,+12.3365
p232_142.wav,1.7889,15.2558,+13.4669
p232_143.wav,15.2634,23.0371,+7.7738
p232_144.wav,11.0549,19.7287,+8.6738
p232_145.wav,6.0785,14.9332,+8.8548
p232_146.wav,0.9451,15.4507,+14.5056
p232_147.wav,16.3386,23.0472,+6.7086
p232_148.wav,11.6039,21.7687,+10.1648
p232_150.wav,5.8684,21.1248,+15.2564
p232_151.wav,1.3204,17.0967,+15.7763
p232_152.wav,15.5801,21.6413,+6.0612
p232_153.wav,10.7907,16.9466,+6.1560
p232_154.wav,6.2389,12.4382,+6.1993
p232_155.wav,1.1981,6.0165,+4.8184
p232_156.wav,15.9658,20.0792,+4.1134
p232_158.wav,11.5812,17.3885,+5.8073
p232_159.wav,5.6309,16.1399,+10.5090
p232_160.wav,2.3961,10.2972,+7.9011
p232_161.wav,16.3616,25.1406,+8.7790
p232_162.wav,10.1996,24.8215,+14.6218
p232_163.wav,6.0059,22.8729,+16.8670
p232_164.wav,1.2091,17.5421,+16.3330
p232_165.wav,15.4459,20.4135,+4.9676
p232_167.wav,11.3099,20.4805,+9.1706
p232_169.wav,6.5958,17.4502,+10.8544
p232_170.wav,0.6328,9.6787,+9.0459
p232_171.wav,15.7622,22.2126,+6.4504
p232_172.wav,10.8642,24.8562,+13.9920
p232_173.wav,5.9517,19.1113,+13.1595
p232_174.wav,0.9455,16.1447,+15.1993
p232_175.wav,16.5397,22.1155,+5.5758
p232_176.wav,11.4672,15.8825,+4.4153
p232_177.wav,5.4344,12.6848,+7.2504
p232_178.wav,0.8863,12.1614,+11.2751
p232_179.wav,16.6388,22.1076,+5.4688
p232_180.wav,11.4850,16.6961,+5.2112
p232_181.wav,5.7354,15.0381,+9.3028
p232_182.wav,1.3478,8.5430,+7.1952
p232_183.wav,14.9197,24.2176,+9.2979
p232_184.wav,10.9175,21.9804,+11.0629
p232_185.wav,6.3306,21.0424,+14.7118
p232_186.wav,0.2043,12.3261,+12.1218
p232_187.wav,14.9263,21.4295,+6.5032
p232_188.wav,11.2429,19.4201,+8.1772
p232_189.wav,6.0993,14.1393,+8.0400
p232_190.wav,0.7101,13.0996,+12.3895
p232_191.wav,15.5952,22.5606,+6.9653
p232_193.wav,10.9828,21.5017,+10.5188
p232_194.wav,6.6401,18.5735,+11.9334
p232_195.wav,1.0398,19.6829,+18.6431
p232_196.wav,15.1847,22.5662,+7.3815
p232_197.wav,11.3777,21.4331,+10.0554
p232_198.wav,5.5671,14.7105,+9.1433
p232_199.wav,1.1979,10.9630,+9.7651
p232_200.wav,16.3675,23.2333,+6.8657
p232_201.wav,11.4142,18.6533,+7.2391
p232_202.wav,7.0243,17.7482,+10.7239
p232_203.wav,1.6076,9.3839,+7.7763
p232_204.wav,16.5300,26.6385,+10.1085
p232_205.wav,10.5932,24.4206,+13.8275
p232_206.wav,6.3241,21.9462,+15.6221
p232_207.wav,0.2883,18.9662,+18.6779
p232_208.wav,14.6487,21.5637,+6.9149
p232_209.wav,9.9672,19.0485,+9.0813
p232_210.wav,5.1793,16.1719,+10.9926
p232_211.wav,-0.5567,14.7350,+15.2918
p232_213.wav,14.8663,23.4712,+8.6049
p232_214.wav,10.6444,17.9257,+7.2813
p232_215.wav,5.6697,23.9711,+18.3014
p232_216.wav,1.4207,16.7423,+15.3216
p232_217.wav,15.1319,21.8773,+6.7454
p232_218.wav,10.8823,20.0485,+9.1661
p232_219.wav,6.6140,14.6581,+8.0441
p232_220.wav,1.6629,12.3350,+10.6721
p232_221.wav,17.0212,20.9974,+3.9762
p232_223.wav,10.6905,16.6819,+5.9914
p232_224.wav,5.8139,13.8942,+8.0803
p232_225.wav,0.7004,11.4168,+10.7164
p232_226.wav,16.0978,24.3634,+8.2657
p232_227.wav,11.5609,24.4805,+12.9196
p232_228.wav,5.3857,20.8641,+15.4783
p232_229.wav,0.2655,16.1051,+15.8395
p232_230.wav,15.8479,20.8075,+4.9596
p232_231.wav,10.8030,19.9337,+9.1307
p232_232.wav,6.3473,16.0055,+9.6582
p232_234.wav,0.1261,13.1738,+13.0477
p232_235.wav,16.7261,25.2915,+8.5655
p232_236.wav,10.0108,22.4447,+12.4338
p232_237.wav,6.3084,22.4700,+16.1616
p232_238.wav,0.4879,21.9241,+21.4362
p232_239.wav,15.5748,20.4980,+4.9232
p232_240.wav,11.5016,20.7573,+9.2557
p232_241.wav,5.0693,12.5149,+7.4456
p232_242.wav,0.5047,8.5841,+8.0795
p232_243.wav,15.7811,22.1623,+6.3812
p232_244.wav,11.4177,16.1799,+4.7623
p232_245.wav,5.3904,18.4814,+13.0910
p232_246.wav,1.0098,10.4550,+9.4453
p232_247.wav,15.2210,24.6863,+9.4653
p232_248.wav,11.6100,22.7778,+11.1678
p232_249.wav,6.1493,22.9245,+16.7752
p232_250.wav,1.2265,21.0864,+19.8599
p232_251.wav,16.2840,22.7499,+6.4658
p232_252.wav,10.9565,20.4062,+9.4498
p232_253.wav,6.3654,16.8889,+10.5235
p232_254.wav,1.3135,14.7531,+13.4396
p232_255.wav,15.7308,19.4912,+3.7604
p232_256.wav,10.8905,19.5074,+8.6168
p232_257.wav,5.3316,18.2377,+12.9061
p232_258.wav,1.4029,17.0663,+15.6634
p232_259.wav,16.5662,24.3788,+7.8127
p232_260.wav,10.8896,16.7996,+5.9100
p232_261.wav,6.4786,12.3049,+5.8263
p232_263.wav,1.5583,10.4922,+8.9339
p232_264.wav,16.6289,21.4411,+4.8122
p232_265.wav,10.7796,17.4344,+6.6548
p232_266.wav,6.2266,17.0159,+10.7893
p232_267.wav,1.7256,8.9792,+7.2536
p232_268.wav,15.9405,22.9144,+6.9739
p232_269.wav,11.4874,23.5681,+12.0807
p232_270.wav,6.4962,20.9905,+14.4943
p232_271.wav,1.4318,20.0073,+18.5755
p232_272.wav,15.9321,23.3285,+7.3964
p232_273.wav,10.7201,18.3476,+7.6275
p232_274.wav,6.4198,16.3775,+9.9577
p232_275.wav,1.5102,14.0325,+12.5222
p232_276.wav,16.3078,23.0744,+6.7666
p232_277.wav,11.4722,19.4694,+7.9971
p232_278.wav,5.5619,21.1104,+15.5484
p232_279.wav,0.8687,12.1077,+11.2390
p232_280.wav,16.3038,20.1013,+3.7974
p232_281.wav,9.7880,15.0319,+5.2439
p232_282.wav,6.6389,18.2398,+11.6009
p232_283.wav,0.4653,10.1299,+9.6646
p232_284.wav,16.3709,21.1142,+4.7433
p232_285.wav,10.5261,18.8783,+8.3522
p232_286.wav,5.9470,14.7648,+8.8177
p232_287.wav,0.8534,10.0093,+9.1559
p232_288.wav,15.4484,25.4961,+10.0477
p232_289.wav,11.4704,23.5769,+12.1065
p232_290.wav,4.7648,23.3505,+18.5857
p232_291.wav,0.5573,19.9789,+19.4215
p232_292.wav,15.1224,21.3991,+6.2767
p232_293.wav,11.6150,20.5485,+8.9336
p232_294.wav,6.4977,16.2761,+9.7784
p232_295.wav,1.4608,13.2671,+11.8063
p232_296.wav,15.9956,23.7203,+7.7246
p232_297.wav,10.9961,22.8124,+11.8162
p232_298.wav,5.1858,19.3281,+14.1423
p232_299.wav,0.2776,18.9041,+18.6265
